corridor_id,start_slot,end_slot
C1,0,24
C1,44,68
C1,84,96
C1,96,120
C1,140,164
C1,180,192
C1,192,216
C1,236,260
C1,276,288
C1,288,312
C1,332,356
C1,372,384
C1,384,408
C1,428,452
C1,468,480
C1,480,504
C1,524,548
C1,564,576
C1,576,600
C1,620,644
C1,660,672
C2,0,24
C2,44,68
C2,84,96
C2,96,120
C2,140,164
C2,180,192
C2,192,216
C2,236,260
C2,276,288
C2,288,312
C2,332,356
C2,372,384
C2,384,408
C2,428,452
C2,468,480
C2,480,504
C2,524,548
C2,564,576
C2,576,600
C2,620,644
C2,660,672
C3,0,24
C3,44,68
C3,84,96
C3,96,120
C3,140,164
C3,180,192
C3,192,216
C3,236,260
C3,276,288
C3,288,312
C3,332,356
C3,372,384
C3,384,408
C3,428,452
C3,468,480
C3,480,504
C3,524,548
C3,564,576
C3,576,600
C3,620,644
C3,660,672
C4,0,24
C4,44,68
C4,84,96
C4,96,120
C4,140,164
C4,180,192
C4,192,216
C4,236,260
C4,276,288
C4,288,312
C4,332,356
C4,372,384
C4,384,408
C4,428,452
C4,468,480
C4,480,504
C4,524,548
C4,564,576
C4,576,600
C4,620,644
C4,660,672
C5,0,24
C5,44,68
C5,84,96
C5,96,120
C5,140,164
C5,180,192
C5,192,216
C5,236,260
C5,276,288
C5,288,312
C5,332,356
C5,372,384
C5,384,408
C5,428,452
C5,468,480
C5,480,504
C5,524,548
C5,564,576
C5,576,600
C5,620,644
C5,660,672
