id,corridor_id,department,task_type,duration_slots,severity,criticality,due_slot,mandatory,requires_power_block,earliest_slot,latest_end_slot
T01,C1,ENGINEERING,TRACK_REPAIR,6,10,9,576,true,false,8,88
T02,C2,ST,SIGNAL_TEST,6,6,7,672,false,false,96,132
T03,C3,TRD,OHE_INSPECTION,4,6,7,480,false,false,200,264
T04,C4,ENGINEERING,RAIL_GRINDING,2,6,9,768,false,false,288,368
T05,C5,ST,TRACK_CIRCUIT_CALIBRATION,12,4,9,672,false,false,396,432
T06,C1,TRD,OHE_POWER_WORK,6,7,8,672,false,true,480,516
T07,C2,ENGINEERING,HEAVY_EARTHWORK,12,7,5,480,false,false,588,624
T08,C3,ST,POINT_MACHINE_SERVICE,12,10,9,480,true,false,8,44
T09,C4,TRD,SUBSTATION_TEST,6,7,9,576,false,true,108,172
T10,C5,ENGINEERING,TRACK_REPAIR,8,4,4,768,false,false,192,272
T11,C1,ST,SIGNAL_TEST,4,9,9,768,false,false,292,328
T12,C2,TRD,OHE_INSPECTION,2,8,5,768,false,false,392,472
T13,C3,ENGINEERING,RAIL_GRINDING,12,4,4,768,false,false,480,560
T14,C4,ST,TRACK_CIRCUIT_CALIBRATION,12,7,5,768,false,false,584,648
T15,C5,TRD,OHE_POWER_WORK,4,5,9,672,true,true,12,60
T16,C1,ENGINEERING,HEAVY_EARTHWORK,8,7,6,480,false,false,100,180
T17,C2,ST,POINT_MACHINE_SERVICE,12,9,7,768,false,false,200,264
T18,C3,TRD,SUBSTATION_TEST,6,4,7,672,false,true,288,368
T19,C4,ENGINEERING,TRACK_REPAIR,6,9,7,672,false,false,396,476
T20,C5,ST,SIGNAL_TEST,2,4,8,576,false,false,492,572
T21,C1,TRD,OHE_INSPECTION,8,8,7,672,false,false,588,668
T22,C2,ENGINEERING,RAIL_GRINDING,2,5,9,480,false,false,0,80
T23,C3,ST,TRACK_CIRCUIT_CALIBRATION,12,8,5,672,false,false,100,180
T24,C4,TRD,OHE_POWER_WORK,2,8,4,672,false,true,200,236
T25,C5,ENGINEERING,HEAVY_EARTHWORK,12,4,9,480,false,false,300,364
T26,C1,ST,POINT_MACHINE_SERVICE,6,8,8,768,false,false,388,452
T27,C2,TRD,SUBSTATION_TEST,6,8,7,576,false,true,488,536
T28,C3,ENGINEERING,TRACK_REPAIR,12,4,7,672,false,false,580,628
T29,C4,ST,SIGNAL_TEST,2,5,7,768,false,false,4,68
T30,C5,TRD,OHE_INSPECTION,4,6,7,768,false,false,100,136
