corridor_id,start_slot,end_slot
C1,0,24
C1,40,68
C1,82,96
C1,96,120
C1,136,164
C1,178,192
C1,192,216
C1,232,260
C1,274,288
C1,288,312
C1,328,356
C1,370,384
C1,384,408
C1,424,452
C1,466,480
C1,480,504
C1,520,548
C1,562,576
C1,576,600
C1,616,644
C1,658,672
C1,672,696
C1,712,740
C1,754,768
C1,768,792
C1,808,836
C1,850,864
C1,864,888
C1,904,932
C1,946,960
C1,960,984
C1,1000,1028
C1,1042,1056
C1,1056,1080
C1,1096,1124
C1,1138,1152
C1,1152,1176
C1,1192,1220
C1,1234,1248
C1,1248,1272
C1,1288,1316
C1,1330,1344
C1,1344,1368
C1,1384,1412
C1,1426,1440
C1,1440,1464
C1,1480,1508
C1,1522,1536
C1,1536,1560
C1,1576,1604
C1,1618,1632
C1,1632,1656
C1,1672,1700
C1,1714,1728
C1,1728,1752
C1,1768,1796
C1,1810,1824
C1,1824,1848
C1,1864,1892
C1,1906,1920
C1,1920,1944
C1,1960,1988
C1,2002,2016
C1,2016,2040
C1,2056,2084
C1,2098,2112
C1,2112,2136
C1,2152,2180
C1,2194,2208
C1,2208,2232
C1,2248,2276
C1,2290,2304
C1,2304,2328
C1,2344,2372
C1,2386,2400
C1,2400,2424
C1,2440,2468
C1,2482,2496
C1,2496,2520
C1,2536,2564
C1,2578,2592
C1,2592,2616
C1,2632,2660
C1,2674,2688
C2,0,24
C2,40,68
C2,82,96
C2,96,120
C2,136,164
C2,178,192
C2,192,216
C2,232,260
C2,274,288
C2,288,312
C2,328,356
C2,370,384
C2,384,408
C2,424,452
C2,466,480
C2,480,504
C2,520,548
C2,562,576
C2,576,600
C2,616,644
C2,658,672
C2,672,696
C2,712,740
C2,754,768
C2,768,792
C2,808,836
C2,850,864
C2,864,888
C2,904,932
C2,946,960
C2,960,984
C2,1000,1028
C2,1042,1056
C2,1056,1080
C2,1096,1124
C2,1138,1152
C2,1152,1176
C2,1192,1220
C2,1234,1248
C2,1248,1272
C2,1288,1316
C2,1330,1344
C2,1344,1368
C2,1384,1412
C2,1426,1440
C2,1440,1464
