id,corridor_id,department,task_type,duration_slots,severity,criticality,due_slot,mandatory,requires_power_block,earliest_slot,latest_end_slot
T001,C1,ST,SIGNAL_TEST,2,9,8,480,true,false,0,576
T002,C2,ST,SIGNAL_TEST,12,9,8,576,true,false,96,576
T003,C3,ST,SIGNAL_TEST,12,9,9,576,true,false,192,672
T004,C4,ST,SIGNAL_TEST,8,9,8,672,true,false,288,960
T005,C5,ST,SIGNAL_TEST,6,9,10,768,true,false,384,960
T006,C6,ST,SIGNAL_TEST,4,9,10,864,true,false,480,1152
T007,C7,ST,SIGNAL_TEST,4,9,9,480,true,false,0,576
T008,C8,ST,SIGNAL_TEST,8,9,9,480,true,false,96,768
T009,C9,ST,SIGNAL_TEST,8,9,8,672,false,false,192,768
T010,C10,ST,SIGNAL_TEST,6,9,9,768,false,false,288,864
T011,C1,TRD,OHE_POWER_WORK,8,9,10,1152,false,true,768,1248
T012,C2,TRD,SUBSTATION_TEST,2,9,9,1248,false,true,864,1536
T013,C3,TRD,OHE_POWER_WORK,12,8,8,1248,false,true,960,1632
T014,C4,TRD,SUBSTATION_TEST,8,8,8,1536,false,true,1056,1728
T015,C5,TRD,OHE_POWER_WORK,2,8,8,1440,false,true,1152,1728
T016,C6,TRD,SUBSTATION_TEST,8,8,8,1056,false,true,672,1152
T017,C7,TRD,OHE_POWER_WORK,12,8,8,1152,false,true,768,1248
T018,C8,TRD,SUBSTATION_TEST,6,8,8,1248,false,true,864,1344
T019,C9,TRD,OHE_POWER_WORK,12,8,8,1248,false,true,960,1632
T020,C10,TRD,SUBSTATION_TEST,2,8,8,1344,false,true,1056,1728
T021,C1,ST,SIGNAL_TEST,8,8,8,1920,false,false,1536,2208
T022,C2,ST,SIGNAL_TEST,8,8,8,1920,false,false,1632,2208
T023,C3,ST,SIGNAL_TEST,6,8,8,2112,false,false,1728,2208
T024,C4,ST,SIGNAL_TEST,6,8,8,2112,false,false,1824,2304
T025,C5,ST,SIGNAL_TEST,4,4,5,1536,false,false,1344,1824
T026,C6,ST,SIGNAL_TEST,12,5,7,1632,false,false,1440,2016
T027,C7,ST,SIGNAL_TEST,2,6,8,2112,false,false,1536,2016
T028,C8,ST,SIGNAL_TEST,4,6,6,2400,false,false,1632,2208
T029,C9,ST,SIGNAL_TEST,6,7,4,1920,false,false,1728,2304
T030,C10,ST,SIGNAL_TEST,6,6,5,2592,false,false,1824,2400
T031,C1,TRD,OHE_POWER_WORK,4,4,6,2688,false,true,2304,2688
T032,C2,TRD,SUBSTATION_TEST,4,5,4,2688,false,true,2400,2688
T033,C3,TRD,OHE_POWER_WORK,2,5,8,2688,false,true,2496,2688
T034,C4,TRD,SUBSTATION_TEST,12,4,7,2208,false,true,2016,2592
T035,C5,TRD,OHE_POWER_WORK,8,4,8,2304,false,true,2112,2688
T036,C6,TRD,SUBSTATION_TEST,2,5,5,2400,false,true,2208,2688
T037,C7,TRD,OHE_POWER_WORK,4,7,6,2688,false,true,2304,2688
T038,C8,TRD,SUBSTATION_TEST,8,5,6,2688,false,true,2400,2688
T039,C9,TRD,OHE_POWER_WORK,6,7,4,2688,false,true,2496,2688
T040,C10,TRD,SUBSTATION_TEST,2,6,4,2592,false,true,2016,2496
T041,C1,ENGINEERING,TRACK_REPAIR,2,6,5,960,false,false,384,864
T042,C2,ENGINEERING,TRACK_REPAIR,6,5,5,1056,false,false,480,1056
T043,C3,ENGINEERING,TRACK_REPAIR,6,5,8,384,false,false,0,672
T044,C4,ENGINEERING,TRACK_REPAIR,4,4,7,480,false,false,96,768
T045,C5,ENGINEERING,TRACK_REPAIR,8,5,7,384,false,false,192,768
